ID,VersionID,Language,VersionTime,BranchName,BatchID,Sample,Batch,Tear,Burst,BL
426,1,ENG,2018-08-22 12:22,1,432,LR18-120-0,11268,25.1532,2.62843,3.67712
427,1,ENG,2019-05-22 8:28,1,433,LR18-121-0,11279,25.9289,2.59784,3.55836
428,1,ENG,2019-05-22 8:30,1,434,LR18-121-0,11279,25.9289,2.59784,3.55836
429,1,ENG,2018-08-22 12:42,1,435,LR18-122 0,11224,26.5896,2.41972,3.21553
430,1,ENG,2018-08-22 12:49,1,436,LR18-125-0,11285,27.1725,2.58439,3.45128
431,1,ENG,2018-08-22 12:50,1,437,LR18-126-0,11301,24.0084,2.59909,3.39422
432,1,ENG,2018-08-22 13:31,1,438,LR18-127-1G-0,11515,27.3699,2.39894,3.3994
433,1,ENG,2018-08-22 13:33,1,439,LR18-127-1G-0,11515,27.3699,2.39894,3.3994
434,1,ENG,2018-08-22 13:02,1,443,LR18-150-0,11312,28.8954,2.89422,4.01153
435,1,ENG,2018-08-22 13:03,1,444,LR18-150-0,11312,28.8954,2.89422,4.01153
436,1,ENG,2018-08-22 13:07,1,445,LR18-151-0,11317,28.8872,2.81838,3.87167
437,1,ENG,2019-05-08 9:30,1,446,LR18-151-0,11317,28.8872,2.81838,3.87167
438,1,ENG,2018-08-22 13:11,1,447,LR18-152-0,11322,29.2423,2.57988,3.30532
439,1,ENG,2019-05-08 9:33,1,448,LR18-152-0,11322,29.2423,2.57988,3.30532
440,1,ENG,2018-08-22 13:15,1,449,LR18-153-0,11327,25.8475,2.41184,3.0233
441,1,ENG,2019-05-08 9:35,1,450,LR18-153-0,11327,25.8475,2.41184,3.0233
442,1,ENG,2018-08-22 13:16,1,451,LR18-154-0,11337,25.4876,2.38491,3.14518
443,1,ENG,2019-05-08 9:38,1,452,LR18-154-0,11337,25.4876,2.38491,3.14518
444,1,ENG,2018-08-22 13:21,1,453,LR18-158-0,11390,26.9545,2.57973,3.28302
445,1,ENG,2019-05-08 9:45,1,454,LR18-158-0,11390,26.9545,2.57973,3.28302
446,1,ENG,2019-05-08 9:46,1,455,LR18-159-0,11395,25.0192,2.28468,2.84465
447,1,ENG,2019-05-08 9:48,1,456,LR18-159-0,11395,25.0192,2.28468,2.84465
448,1,ENG,2019-05-08 9:49,1,457,LR18-160-0,11400,25.3239,2.47038,3.37931
449,1,ENG,2019-05-08 9:50,1,458,LR18-160-0,11400,25.3239,2.47038,3.37931
450,1,ENG,2018-08-22 13:22,1,459,LR18-162-0,11360,26.905,2.82792,3.65569
451,1,ENG,2019-05-08 9:56,1,460,LR18-162-0,11360,26.905,2.82792,3.65569
452,1,ENG,2019-05-08 9:58,1,461,LR18-164-0,11370,28.9561,2.78272,3.57589
453,1,ENG,2019-05-08 9:59,1,462,LR18-164-0,11370,28.9561,2.78272,3.57589
454,1,ENG,2019-05-08 10:01,1,463,LR18-165-0,11375,34.0977,2.31828,3.03514
455,1,ENG,2019-05-08 10:01,1,464,LR18-165-0,11375,34.0977,2.31828,3.03514
456,1,ENG,2019-05-08 10:03,1,465,LR18-166-0,11471,27.2821,2.71752,3.3275
457,1,ENG,2019-05-08 10:04,1,466,LR18-166-0,11471,27.2821,2.71752,3.3275
458,1,ENG,2019-05-08 10:08,1,469,LR18-168-0,11477,25.3689,2.36798,3.019
459,1,ENG,2019-05-08 10:08,1,470,LR18-168-0,11477,25.3689,2.36798,3.019
460,1,ENG,2019-05-07 14:30,1,471,LR18-171-0,11487,30.5411,2.9641,3.67911
461,1,ENG,2019-05-07 14:31,1,472,LR18-171-0,11487,30.5411,2.9641,3.67911
462,1,ENG,2019-05-07 14:27,1,473,LR18-172-0,11465,25.3758,2.47553,3.35255
463,1,ENG,2019-05-07 14:28,1,474,LR18-172-0,11465,25.3758,2.47553,3.35255
464,1,ENG,2019-05-07 14:16,1,475,LR18-173-0,11460,26.2671,2.55991,3.34635
465,1,ENG,2019-05-07 14:18,1,476,LR18-173-0,11460,26.2671,2.55991,3.34635
466,1,ENG,2019-05-07 14:14,1,477,LR18-174-0,11449,25.6948,2.55622,3.29935
467,1,ENG,2019-05-07 14:15,1,478,LR18-174-0,11449,25.6948,2.55622,3.29935
468,1,ENG,2019-05-07 14:12,1,479,LR18-177-0,11434,27.6635,2.70477,3.46423
469,1,ENG,2019-05-07 14:13,1,480,LR18-177-0,11434,27.6635,2.70477,3.46423
470,1,ENG,2019-05-07 14:09,1,481,LR18-178-0,11385,29.1442,2.86384,3.42788
471,1,ENG,2019-05-07 14:10,1,482,LR18-178-0,11385,29.1442,2.86384,3.42788
472,1,ENG,2019-05-07 9:10,1,483,LR18-179-0,11429,26.6329,2.79158,3.7975
473,1,ENG,2019-05-07 9:11,1,484,LR18-179-0,11429,26.6329,2.79158,3.7975
474,1,ENG,2019-05-07 9:08,1,485,LR18-183-0,11419,27.9929,3.16568,3.92225
475,1,ENG,2019-05-07 9:09,1,486,LR18-183-0,11419,27.9929,3.16568,3.92225
476,1,ENG,2019-05-07 9:05,1,487,LR18-189-0,11492,29.8071,2.60947,3.70082
477,1,ENG,2019-05-07 9:06,1,488,LR18-189-0,11492,29.8071,2.60947,3.70082
478,1,ENG,2019-05-07 8:57,1,489,LR18-191-0,11557,26.2232,2.46565,3.58734
479,1,ENG,2019-05-07 8:58,1,490,LR18-191-0,11557,26.2232,2.46565,3.58734
480,1,ENG,2019-05-07 8:54,1,491,LR18-192-0,11567,29.3945,2.60172,3.37525
481,1,ENG,2019-05-07 8:55,1,492,LR18-192-0,11567,29.3945,2.60172,3.37525
482,1,ENG,2019-05-07 8:50,1,493,LR18-195-0,11547,22.3954,1.96557,3.00885
483,1,ENG,2019-05-07 8:52,1,494,LR18-195-0,11547,22.3954,1.96557,3.00885
484,1,ENG,2019-05-07 8:47,1,495,LR18-200-0,11536,27.9585,2.84814,3.91614
485,1,ENG,2019-05-07 8:48,1,496,LR18-200-0,11536,27.9585,2.84814,3.91614
486,1,ENG,2019-05-07 8:14,1,497,LR18-204-0,11530,29.5539,2.72254,3.85481
487,1,ENG,2019-05-07 8:15,1,498,LR18-204-0,11530,29.5539,2.72254,3.85481
488,1,ENG,2019-05-07 8:11,1,499,LR18-205-0,11624,28.5545,2.61802,3.4509
489,1,ENG,2019-05-07 8:13,1,500,LR18-205-0,11624,28.5545,2.61802,3.4509
490,1,ENG,2019-05-07 8:09,1,504,LR18-209-0,11598,25.7951,2.59477,3.40066
491,1,ENG,2019-05-07 8:10,1,505,LR18-209-0,11598,25.7951,2.59477,3.40066
492,1,ENG,2019-05-07 8:07,1,506,LR18-211-0,11604,25.8622,2.53387,3.45514
493,1,ENG,2019-05-07 8:08,1,507,LR18-211-0,11604,25.8622,2.53387,3.45514
494,1,ENG,2019-05-28 14:59,1,508,LR18-212-0,11634,25.4408,2.69977,3.76813
495,1,ENG,2019-05-28 15:00,1,509,LR18-212-0,11634,25.4408,2.69977,3.76813
496,1,ENG,2019-05-28 15:01,1,510,LR18-212-0,11634,25.4408,2.69977,3.76813
497,1,ENG,2019-05-28 15:02,1,511,LR18-212-0,11634,25.4408,2.69977,3.76813
498,1,ENG,2019-05-28 14:55,1,512,LR18-213-0,11639,27.2846,2.87588,3.87411
499,1,ENG,2019-05-28 14:56,1,513,LR18-213-0,11639,27.2846,2.87588,3.87411
500,1,ENG,2019-05-28 14:57,1,514,LR18-213-0,11639,27.2846,2.87588,3.87411
501,1,ENG,2019-05-28 14:57,1,515,LR18-213-0,11639,27.2846,2.87588,3.87411
502,1,ENG,2019-05-07 8:04,1,516,LR18-215-0,11644,28.3547,2.58471,3.51004
503,1,ENG,2019-05-07 8:04,1,517,LR18-215-0,11644,28.3547,2.58471,3.51004
504,1,ENG,2019-05-06 15:38,1,518,LR18-216-0,11609,26.4497,2.88452,4.08415
505,1,ENG,2019-05-06 15:38,1,519,LR18-216-0,11609,26.4497,2.88452,4.08415
506,1,ENG,2019-05-06 15:34,1,523,LR18-227-0,11674,27.631,2.36959,3.29578
507,1,ENG,2019-05-06 15:35,1,524,LR18-227-0,11674,27.631,2.36959,3.29578
508,1,ENG,2019-05-06 15:31,1,525,LR18-230-0,11684,27.9044,2.29881,3.22582
509,1,ENG,2019-05-06 15:32,1,526,LR18-230-0,11684,27.9044,2.29881,3.22582
510,1,ENG,2019-05-06 15:28,1,527,LR18-231-0,11701,23.5402,2.4637,3.53213
511,1,ENG,2019-05-06 15:29,1,528,LR18-231-0,11701,23.5402,2.4637,3.53213
512,1,ENG,2019-05-28 14:51,1,529,LR18-236-0,11913,29.785,2.88847,3.90381
513,1,ENG,2019-05-28 14:52,1,530,LR18-236-0,11913,29.785,2.88847,3.90381
514,1,ENG,2019-05-28 14:53,1,531,LR18-236-0,11913,29.785,2.88847,3.90381
515,1,ENG,2019-05-28 14:54,1,532,LR18-236-0,11913,29.785,2.88847,3.90381
516,1,ENG,2019-05-28 14:30,1,533,LR18-237-0,11790,29.4067,2.90867,3.85793
517,1,ENG,2019-05-28 14:31,1,534,LR18-237-0,11790,29.4067,2.90867,3.85793
518,1,ENG,2019-05-28 14:32,1,535,LR18-237-0,11790,29.4067,2.90867,3.85793
519,1,ENG,2019-05-28 14:24,1,536,LR18-238-0,11918,30.0972,2.85314,3.82004
520,1,ENG,2019-05-28 14:25,1,537,LR18-238-0,11918,30.0972,2.85314,3.82004
521,1,ENG,2019-05-28 14:26,1,538,LR18-238-0,11918,30.0972,2.85314,3.82004
522,1,ENG,2019-05-28 14:27,1,539,LR18-238-0,11918,30.0972,2.85314,3.82004
523,1,ENG,2019-05-28 14:18,1,540,LR18-239-0,11923,27.3716,2.69191,3.85487
524,1,ENG,2019-05-28 14:19,1,541,LR18-239-0,11923,27.3716,2.69191,3.85487
525,1,ENG,2019-05-28 14:20,1,542,LR18-239-0,11923,27.3716,2.69191,3.85487
526,1,ENG,2019-05-28 14:21,1,543,LR18-239-0,11923,27.3716,2.69191,3.85487
527,1,ENG,2019-05-28 14:14,1,544,LR18-240-0,11795,27.5305,2.70882,3.83455
528,1,ENG,2019-05-28 14:15,1,545,LR18-240-0,11795,27.5305,2.70882,3.83455
529,1,ENG,2019-05-28 14:16,1,546,LR18-240-0,11795,27.5305,2.70882,3.83455
530,1,ENG,2019-05-28 14:16,1,547,LR18-240-0,11795,27.5305,2.70882,3.83455
531,1,ENG,2019-05-06 14:02,1,548,LR19-002-0,11716,NULL,NULL,NULL
532,1,ENG,2019-05-06 14:04,1,549,LR19-002-0,11716,NULL,NULL,NULL
533,1,ENG,2019-05-06 14:00,1,550,LR19-003-0,11722,NULL,NULL,NULL
534,1,ENG,2019-05-06 14:01,1,551,LR19-003-0,11722,NULL,NULL,NULL
535,1,ENG,2019-05-06 13:58,1,552,LR19-005-0,11928,NULL,NULL,NULL
536,1,ENG,2019-05-06 13:59,1,553,LR19-005-0,11928,NULL,NULL,NULL
537,1,ENG,2019-05-06 13:56,1,554,LR19-006-0,11933,NULL,NULL,NULL
538,1,ENG,2019-05-06 13:57,1,555,LR19-006-0,11933,NULL,NULL,NULL
539,1,ENG,2019-05-06 13:53,1,556,LR19-007-0,11938,NULL,NULL,NULL
540,1,ENG,2019-05-06 13:54,1,557,LR19-007-0,11938,NULL,NULL,NULL
541,1,ENG,2019-05-06 13:46,1,563,LR19-013R-0,11949,NULL,NULL,NULL
542,1,ENG,2019-05-06 13:47,1,564,LR19-013R-0,11949,NULL,NULL,NULL
543,1,ENG,2019-05-06 13:44,1,565,LR19-014-0,11954,NULL,NULL,NULL
544,1,ENG,2019-05-06 13:45,1,566,LR19-014-0,11954,NULL,NULL,NULL
545,1,ENG,2019-05-06 13:30,1,567,LR19-016-0,11959,NULL,NULL,NULL
546,1,ENG,2019-05-06 13:43,1,568,LR19-016-0,11959,NULL,NULL,NULL
547,1,ENG,2019-05-06 13:28,1,569,LR19-017-0,11964,NULL,NULL,NULL
